1.014336,1.0,0.0472665,0.000228,0.00788
2.014336,1.0,0.0472665,0.000228,0.00788
3.014336,1.0,0.0472665,0.000228,0.00788
4.014336,1.0,0.0472665,0.000228,0.00788
5.014336,1.0,0.0472665,0.000228,0.00788
6.514336,1.0,0.0472665,0.000228,0.00788
7.514336,1.0,0.0472665,0.000228,0.00788
8.514336,1.0,0.0472665,0.000228,0.00788
9.514336,1.0,0.0472665,0.000228,0.00788
10.014336,1.0,0.0672665,0.000228,0.00788
15.014336,1.0,0.0872665,0.000228,0.00788
20.014336,1.0,0.1072665,0.000228,0.00788
25.014336,1.0,0.124533,0.000228,0.00788
30.014336,1.0,0.144533,0.000228,0.00788
35.014375,1.0,0.174533,0.000229,0.00788
60.014414,1.0,0.000000,0.000229,0.00788
